stop_id,stop_name,stop_lat,stop_lon
101712-STOP_143410,兆如安養中心,24.989422,121.584316
101712-STOP_143412,興旺公園,25.006388,121.549759
101712-STOP_14366,碧瑤,24.946810,121.479820
101712-STOP_14394,浪漫貴族,24.960016,121.511483
101712-STOP_129884,大度立德路口,25.122740,121.470610
101712-STOP_130077,東湖社區,25.069547,121.618788
101712-STOP_13202,長春松江路口,25.054537,121.533139
101712-STOP_13261,捷運劍潭站(北藝中心),25.084849,121.524748
101712-STOP_13392,耕莘文教院,25.018986,121.528858
101712-STOP_13648,仁愛光復路口,25.037700,121.557810
101712-STOP_138199,風尾,25.154452,121.528905
101712-STOP_14620,捷運公館站,25.013993,121.535185
101712-STOP_14636,博愛路,25.043262,121.511555
101712-STOP_125308,誠正國中,25.051546,121.616031
101712-STOP_125498,行善路,25.057071,121.576663
101712-STOP_125564,山仔后派出所,25.136106,121.546297
101712-STOP_125784,富德公墓12區,25.012411,121.584746
101712-STOP_12602,新壽公園,25.063378,121.530296
101712-STOP_12760,中山女高,25.048444,121.537799
101712-STOP_13138,捷運後山埤站(永吉),25.045235,121.581945
101712-STOP_136152,政大清境社區,24.989597,121.587262
101712-STOP_13711,合江街口,25.058035,121.538313
101712-STOP_138187,陽明山立體停車場(草山行館),25.154665,121.539077
101712-STOP_142286,南京金莊路口,25.061802,121.589213
101712-STOP_14232,青潭(北宜路),24.952627,121.547001
101712-STOP_143360,文化區民活動中心,25.137319,121.497248
101712-STOP_143363,進賢路口,25.141179,121.505291
101712-STOP_14626,羅斯福浦城街口,25.022145,121.526570
101712-STOP_125612,恕德家商,25.081963,121.569045
101712-STOP_125630,明湖國中,25.069970,121.611653
101712-STOP_12870,南港行政中心,25.054330,121.607120
101712-STOP_130069,捷運南港站,25.051922,121.606714
101712-STOP_13024,大同路口,25.061403,121.494930
101712-STOP_13190,南京三民路口,25.051580,121.561111
101712-STOP_13474,新泰游泳池,25.045563,121.442670
101712-STOP_14450,金華新生路口,25.030480,121.533840
101712-STOP_14474,第二果菜市場,25.068039,121.538733
101712-STOP_14592,崇光中學,24.972496,121.540277
101712-STOP_14752,捷運六張犁站(基隆路),25.023637,121.551907
101712-STOP_148707,彌陀寺(硫磺谷),25.143740,121.521480
101712-STOP_148887,長榮光明路口,25.086767,121.460036
101712-STOP_14714,檳榔路,24.965001,121.540588
101712-STOP_14758,吳興街口,25.031596,121.558846
101712-STOP_14756,三興國小(臨江街觀光夜市),25.028593,121.557084
101712-STOP_14710,捷運新店站(北新路),24.958891,121.538126
101712-STOP_150720,大直加油站,25.083992,121.550123
101712-STOP_151090,水井尾,25.146088,121.531702
101712-STOP_151693,小白宮(淡水分局),25.173232,121.435832
101712-STOP_15227,德行芝玉路口,25.109595,121.533503
101712-STOP_15230,果菜市場,25.019870,121.497706
101712-STOP_152326,大業中央北路口,25.135807,121.497891
101712-STOP_15328,連城景平路(暫時裁撤),24.999590,121.496156
