trip_id,arrival_time,departure_time,stop_id,stop_sequence
Green_G-1_RAIL_HD_UP,06:10:09,06:10:44,G14,6
Green_G-1_RAIL_HD_UP,06:12:40,06:13:15,G13,7
Green_G-1_RAIL_HD_UP,06:14:41,06:15:09,G12,8
Green_G-1_RAIL_HD_UP,06:16:32,06:17:06,G11,9
Green_G-1_RAIL_HD_UP,06:18:22,06:18:49,G10,10
Green_G-1_RAIL_HD_UP,06:20:16,06:20:54,G09,11
Green_G-1_RAIL_HD_UP,06:22:19,06:22:52,G08,12
Green_G-1_RAIL_HD_UP,06:24:11,06:24:41,G07,13
Green_G-1_RAIL_HD_UP,06:26:43,06:27:12,G06,14
Green_G-1_RAIL_HD_UP,06:28:41,06:29:08,G05,15
Green_G-1_RAIL_HD_UP,06:30:40,06:31:07,G04,16
Green_G-1_RAIL_HD_UP,06:32:25,06:32:52,G03,17
Green_G-1_RAIL_HD_UP,06:34:13,06:34:37,G02,18
Green_G-1_RAIL_HD_UP,06:36:28,06:36:53,G01,19
Green_G-1_RAIL_HD_DN,06:00:00,06:00:00,G01,1
Green_G-1_RAIL_HD_DN,06:01:51,06:02:16,G02,2
Green_G-1_RAIL_HD_DN,06:03:37,06:04:01,G03,3
Green_G-1_RAIL_HD_DN,06:05:19,06:05:46,G04,4
Green_G-1_RAIL_HD_DN,06:07:18,06:07:45,G05,5
Green_G-1_RAIL_HD_DN,06:09:14,06:09:41,G06,6
Green_G-1_RAIL_HD_DN,06:11:43,06:12:12,G07,7
Green_G-1_RAIL_HD_DN,06:13:31,06:14:01,G08,8
Green_G-1_RAIL_HD_DN,06:15:26,06:15:59,G09,9
Green_G-1_RAIL_HD_DN,06:17:26,06:18:04,G10,10
Green_G-1_RAIL_HD_DN,06:19:20,06:19:47,G11,11
Green_G-1_RAIL_HD_DN,06:21:10,06:21:44,G12,12
Green_G-1_RAIL_HD_DN,06:23:10,06:23:38,G13,13
Green_G-1_RAIL_HD_DN,06:25:34,06:26:09,G14,14
Green_G-1_RAIL_HD_DN,06:27:55,06:28:30,G15,15
Green_G-1_RAIL_HD_DN,06:30:02,06:30:35,G16,16
Green_G-1_RAIL_HD_DN,06:31:59,06:32:26,G17,17
Green_G-1_RAIL_HD_DN,06:34:08,06:34:35,G18,18
Green_G-1_RAIL_HD_DN,06:36:53,06:36:53,G19,19
Green_G-2_RAIL_WD_UP,06:00:00,06:00:00,G19,1
Green_G-2_RAIL_WD_UP,06:02:18,06:02:18,G18,2
Green_G-2_RAIL_WD_UP,06:04:00,06:04:27,G17,3
Green_G-2_RAIL_WD_UP,06:05:51,06:06:18,G16,4
Green_G-2_RAIL_WD_UP,06:07:50,06:08:23,G15,5
Green_G-2_RAIL_WD_UP,06:10:09,06:10:44,G14,6
Green_G-2_RAIL_WD_UP,06:12:40,06:13:15,G13,7
Green_G-2_RAIL_WD_UP,06:14:41,06:15:09,G12,8
Green_G-2_RAIL_WD_UP,06:16:32,06:17:06,G11,9
Green_G-2_RAIL_WD_UP,06:18:22,06:18:49,G10,10
Green_G-2_RAIL_WD_UP,06:20:16,06:20:54,G09,11
Green_G-2_RAIL_WD_UP,06:22:19,06:22:52,G08,12
Green_G-2_RAIL_WD_DN,06:00:00,06:00:00,G08,1
Green_G-2_RAIL_WD_DN,06:01:25,06:01:58,G09,2
Green_G-2_RAIL_WD_DN,06:03:25,06:04:03,G10,3
Green_G-2_RAIL_WD_DN,06:05:19,06:05:46,G11,4
Green_G-2_RAIL_WD_DN,06:07:09,06:07:43,G12,5
Green_G-2_RAIL_WD_DN,06:09:09,06:09:37,G13,6
Green_G-2_RAIL_WD_DN,06:11:33,06:12:08,G14,7
Green_G-2_RAIL_WD_DN,06:13:54,06:14:29,G15,8
Green_G-2_RAIL_WD_DN,06:16:01,06:16:34,G16,9
Green_G-2_RAIL_WD_DN,06:17:58,06:18:25,G17,10
Green_G-2_RAIL_WD_DN,06:20:07,06:20:34,G18,11
Green_G-2_RAIL_WD_DN,06:22:52,06:22:52,G19,12
QX_G-3_RAIL_WD_UP,06:00:00,06:00:00,G03,1
QX_G-3_RAIL_WD_UP,06:03:23,06:03:23,G03A,2
QX_G-3_RAIL_WD_DN,06:00:00,06:00:00,G03A,1
QX_G-3_RAIL_WD_DN,06:03:23,06:03:23,G03,2
QX_G-3_RAIL_HD_UP,06:00:00,06:00:00,G03,1
QX_G-3_RAIL_HD_UP,06:03:23,06:03:23,G03A,2
QX_G-3_RAIL_HD_DN,06:00:00,06:00:00,G03A,1
QX_G-3_RAIL_HD_DN,06:03:23,06:03:23,G03,2
Orange_O-1_RAIL_WD_UP,06:00:00,06:00:00,O21,1
Orange_O-1_RAIL_WD_UP,06:02:48,06:02:48,O20,2
Orange_O-1_RAIL_WD_UP,06:04:41,06:05:06,O19,3
Orange_O-1_RAIL_WD_UP,06:07:23,06:07:48,O18,4
Orange_O-1_RAIL_WD_UP,06:09:22,06:09:47,O17,5
Orange_O-1_RAIL_WD_UP,06:11:35,06:12:00,O16,6
Orange_O-1_RAIL_WD_UP,06:14:22,06:14:47,O15,7
Orange_O-1_RAIL_WD_UP,06:16:11,06:16:36,O14,8
Orange_O-1_RAIL_WD_UP,06:18:13,06:18:38,O13,9
Orange_O-1_RAIL_WD_UP,06:20:45,06:21:10,O12,10
Orange_O-1_RAIL_WD_UP,06:22:22,06:22:48,O11,11
Orange_O-1_RAIL_WD_UP,06:24:00,06:24:33,O10,12
Orange_O-1_RAIL_WD_UP,06:26:09,06:26:39,O09,13
Orange_O-1_RAIL_WD_UP,06:27:57,06:28:27,O08,14
Orange_O-1_RAIL_WD_UP,06:30:09,06:30:39,O07,15
Orange_O-1_RAIL_WD_UP,06:32:55,06:33:33,O06,16
Orange_O-1_RAIL_WD_UP,06:37:01,06:37:34,O05,17
Orange_O-1_RAIL_WD_UP,06:40:41,06:41:14,O04,18
Orange_O-1_RAIL_WD_UP,06:42:57,06:43:26,O03,19
Orange_O-1_RAIL_WD_UP,06:44:56,06:45:25,O02,20
Orange_O-1_RAIL_WD_UP,06:47:02,06:47:30,O01,21
Orange_O-1_RAIL_WD_DN,06:00:00,06:00:00,O01,1
